,username,translated sociotype
244,MisterNi,LIE
248,Morcheeba,EIE
249,moredhel,LSE
250,Ms. Kensington,LII
252,munenori2,SEI
254,MysticSonic,LII
256,nanashi,ILI
258,Narc,LIE
260,Neuralia,ILI
262,nico1e,SLI
263,nigh,ESI
264,nil,ILI
265,Nomenclature,SEE
266,Nowisthetime,SEI
267,octopuslove,IEI
268,octo,IEI
269,Olga,ESI
270,Olly From Wally World,IEI
271,Ouronis,LII
272,Ozz,LSI
274,Parkster,SLI
275,Pauluch?,IEE
276,Ver,IEE
277,Persephone,IEI
278,Kore,IEI
279,LostInDreams,IEI
280,Phaedrus,ILI
281,pianosinger,IEE
282,Pink,IEI
283,pinkcanary,SEI
285,pluie,IEI
287,polikujm,EII
288,Pookie,IEI
292,ragnar,ILI
293,RandomSequence,ILE
294,Raver,IEE
295,Traveler,IEE
296,Red Villain,SLI
297,Uncle Rob,SLI
298,redbaron,IEI
299,Reficulris,ILE
300,Reuben,ILE
301,reyn_til_runa,ILI
302,Rick,IEE
303,Rim,ESI
304,Ritella,EII
307,RSV3,LII
308,Rubicon,SEI
309,Ryan,LII
310,Ryene Astraelis,ESI
311,Saberstorm,ILI
312,Sam Rockwell,IEI
313,sarinana,EIE
316,ScarlettLux,EIE
319,silverchris9,IEI
320,Sir Knight,IEI
323,Skeptic,ILI
324,Slacker,IEE
325,smccosker,SLE
326,Smilingeyes,LSE
327,Sol,LSE
328,somavision,IEE
332,squark,LSI
333,squirreltual,ILE
334,Ssmall,IEE
335,sssonyyy,IEI
336,bolong,IEI
337,Starfall,IEI
338,Steve,ILE
339,stevENTj,ILI
340,Strangelove,IEI
342,StridingStrider,SLI
343,strrrng,IEI
346,Suz,ESE
347,WorkaholicsAnon,ESE
348,Tackk,ILI
349,Snowball,ILI
350,Taknamay,EII
351,tcaudilllg,LII
352,tereg,EII
353,The Ineffable,ILE
354,The Matrix,IEI
355,thehotelambush,LII
356,theMime.,SEI
357,thePirate,IEI
358,theta,ILI
359,TheWholeEnglish,IEI
360,Time,SLI
361,Timeless,ILE
363,Tom,LSE
365,Transkar,ILE
366,Trevor,LII
367,Typhon,EIE
368,UDP,LSE
370,unefille,EIE
371,Uniden,EII
373,Uwace,LIE
374,Valkyrie,LII
375,Variant,EIE
376,Ver,IEE
377,Vero,ILE
378,Wynch,ILE
380,Vois,EIE
381,wacey,EII
383,William,LSE
384,Snaps,LSE
385,Within,LII
386,woofwoofl,SEE
387,wookie,SEE
388,aixelsyd,SEE
389,Words,ESI
390,Yaaroslav,LII
391,yellow82,ESE
392,your mudda,ILI
393,Yukiko,SLE
394,Zero11,ILI
395,Tigerfadder,IEI
396,Myst,LSI
